Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"4,201","1,701","1,428","1,072",0,"190,290","160,574","23,701","6,015",0,"148,993","123,839","20,448","4,706",0,"33,316","29,873","2,462",981,0,"6,494","5,858",484,152,0,"1,487","1,004",307,176,0,"8,503","6,231","1,557",715,0,"3,733","2,612",793,328,0,"4,770","3,619",764,387,0,"55,834","49,229","4,321","2,284",0,"48,327","42,991","3,521","1,815",0,"7,003","6,056",618,329,0,504,182,182,140,0,55,32,1,22,0,"2,441,274","2,145,425","171,723","124,126",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"3,325","1,992",663,670,0,"187,376","164,886","16,207","6,283",0,"144,498","124,956","14,447","5,095",0,"35,132","32,839","1,401",892,0,"6,499","6,138",224,137,0,"1,247",953,135,159,0,"7,903","6,686",582,635,0,"4,335","3,623",386,326,0,"3,568","3,063",196,309,0,"82,657","77,905","2,527","2,225",0,"72,653","68,892","2,052","1,709",0,"9,554","8,754",364,436,0,450,259,111,80,0,67,57,2,8,0,"2,526,387","2,292,029","124,260","110,098",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020　Jan．,"3,084",992,703,"1,389",,"152,202","121,603","16,499","14,100",0,"117,343","91,560","14,558","11,225",0,"28,931","25,582","1,400","1,949",0,"4,641","3,841",326,474,0,"1,287",620,215,452,0,"8,028","5,856",700,"1,472",0,"3,419","2,063",407,949,0,"4,609","3,793",293,523,0,"95,027","90,012","2,461","2,554",0,"85,314","81,452","1,980","1,882",0,"9,328","8,409",375,544,0,385,151,106,128,0,54,34,3,17,0,"2,661,022","2,287,755","115,099","258,168",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"2,101",558,735,808,,"94,630","77,840","12,525","4,265",,"73,373","58,899","10,967","3,507",,"17,601","15,903","1,165",533,,"2,968","2,649",207,112,,688,389,186,113,,"6,352","5,155",488,709,,"2,010","1,353",276,381,,"4,342","3,802",212,328,,"53,670","50,243","2,223","1,204",,"48,522","45,910","1,792",820,,"4,901","4,251",355,295,,247,82,76,89,,29,17,1,11,,"1,085,147","898,976","73,265","112,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,978,261,171,546,,"31,246","24,648","2,953","3,645",,"22,964","17,487","2,652","2,825",0,"6,149","5,514",190,445,0,"1,691","1,478",46,167,,442,169,65,208,,"3,011","2,383",83,545,,995,652,41,302,,"2,016","1,731",42,243,,"10,237","8,797",506,934,,"8,767","7,760",345,662,0,"1,351","1,018",111,222,,119,19,50,50,,12,2,1,9,,"193,658","119,645","13,544","60,469",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,17,6,1,10,,455,249,78,128,,340,179,70,91,,47,32,4,11,,64,37,2,25,,4,1,2,1,,19,6,1,12,,13,0,1,12,,6,6,0,0,,65,46,15,4,,50,36,12,2,,10,8,2,0,,5,2,1,2,,0,0,0,0,,"2,917",776,185,"1,956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,10,4,0,6,,53,35,3,15,,47,32,3,12,,5,3,0,2,,1,0,0,1,,0,0,0,0,,4,1,0,3,,2,0,0,2,,2,1,0,1,,6,3,2,1,,2,0,1,1,,4,3,1,0,,0,0,0,0,,0,0,0,0,,"1,663",108,70,"1,485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,5,1,0,4,,156,96,8,52,,136,79,8,49,,17,16,0,1,,3,1,0,2,,0,0,0,0,,15,3,0,12,,10,2,0,8,,5,1,0,4,,19,7,4,8,,11,4,0,7,,7,3,4,0,,1,0,0,1,,1,0,0,1,,"2,565",226,171,"2,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,25,0,2,23,,443,128,17,298,,403,117,15,271,,30,11,2,17,,2,0,0,2,,8,0,0,8,,28,5,0,23,,17,2,0,15,,11,3,0,8,,63,18,4,41,,45,13,2,30,,16,3,2,11,,2,2,0,0,,0,0,0,0,,"3,782",418,241,"3,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,169,3,5,161,,796,164,44,588,,698,140,40,518,,81,22,4,55,,7,2,0,5,,10,0,0,10,,70,5,0,65,,45,5,0,40,,25,0,0,25,,176,12,6,158,,90,3,5,82,,83,9,1,73,,3,0,0,3,,1,0,0,1,,"8,658",482,702,"7,474",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,175,8,4,163,,730,144,106,480,,632,128,97,407,,69,14,6,49,,11,1,2,8,,18,1,1,16,,74,3,2,69,,42,2,1,39,,32,1,1,30,,149,17,13,119,,88,13,8,67,,57,4,5,48,,4,0,0,4,,4,0,0,4,,"13,684",497,"1,317","11,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,406,7,25,374,,"1,115",233,148,734,,932,209,128,595,,118,19,17,82,,34,5,1,28,,31,0,2,29,,160,10,17,133,,87,4,14,69,,73,6,3,64,,346,25,53,268,,200,16,43,141,,129,8,10,111,,17,1,0,16,,3,0,0,3,,"27,386",760,"2,588","24,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,513,15,77,421,,"1,348",316,212,820,,"1,091",278,162,651,,134,35,19,80,,57,2,15,40,,66,1,16,49,,267,18,18,231,,151,12,6,133,,116,6,12,98,,372,16,52,304,,255,13,38,204,,100,3,12,85,,17,0,2,15,,1,0,0,1,,"56,673","1,030","4,793","50,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,357,29,31,297,,"1,655",494,220,941,,"1,348",417,157,774,,183,65,20,98,,49,8,4,37,,75,4,39,32,,194,37,12,145,,97,15,4,78,,97,22,8,67,,256,34,41,181,,164,20,34,110,,84,11,7,66,,8,3,0,5,,2,0,0,2,,"58,673","1,557","4,051","53,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021　Jan．,309,5,28,276,,"1,443",152,191,"1,100",,"1,206",130,138,938,,125,19,33,73,,56,2,9,45,,56,1,11,44,,340,16,8,316,,254,11,4,239,,86,5,4,77,,148,4,27,117,,106,3,20,83,,41,1,7,33,,1,0,0,1,,2,0,0,2,,"46,522",547,"3,099","42,876",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,129,4,8,117,,433,84,55,294,,367,81,53,233,,22,3,2,17,,23,0,0,23,,21,0,0,21,,104,6,3,95,,69,2,1,66,,35,4,2,29,,51,2,5,44,,33,2,3,28,,15,0,2,13,,3,0,0,3,,3,0,0,3,,"7,355",266,776,"6,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,206,2,7,197,,645,90,75,480,,550,81,63,406,,48,7,9,32,,23,2,3,18,,24,0,0,24,,101,34,12,55,,38,4,2,32,,63,30,10,23,,75,4,5,66,,47,1,5,41,,23,3,0,20,,5,0,0,5,,2,0,0,2,,"12,276",374,"1,105","10,797",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,214,7,19,188,,787,245,159,383,,583,208,85,290,,105,8,41,56,,39,18,7,14,,60,11,26,23,,173,23,53,97,,83,9,9,65,,90,14,44,32,,129,6,24,99,,95,4,18,73,,31,2,6,23,,3,0,0,3,,2,0,0,2,,"10,853",740,"1,368","8,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,213,10,10,193,,"1,101",331,143,627,,958,287,111,560,,63,19,9,35,,37,10,12,15,,43,15,11,17,,144,25,27,92,,86,20,4,62,,58,5,23,30,,128,31,23,74,,85,16,19,50,,29,2,4,23,,14,13,0,1,,2,0,0,2,,"10,035","1,057","1,323","7,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,324,42,13,269,,"1,397",514,148,735,,"1,162",414,105,643,,110,44,26,40,,83,49,16,18,,42,7,1,34,,155,49,2,104,,105,37,1,67,,50,12,1,37,,165,48,22,95,,116,45,18,53,,26,2,4,20,,23,1,0,22,,1,0,0,1,,"9,251","1,657","1,121","6,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"2,557","2,316",12,229,,"9,039","7,339",112,"1,588",,"6,139","4,614",99,"1,426",,"1,545","1,435",10,100,,477,453,2,22,,878,837,1,40,,"2,410","2,296",4,110,,"1,127","1,050",3,74,,"1,283","1,246",1,36,,"2,419","2,226",11,182,,"1,570","1,449",7,114,,700,638,4,58,,149,139,0,10,,14,12,0,2,,"51,055","42,621",941,"7,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,382","1,021",10,351,,"3,966","1,674",150,"2,142",,"2,981",935,134,"1,912",,533,382,12,139,,225,186,2,37,,227,171,2,54,,"1,092",984,2,106,,568,516,1,51,,524,468,1,55,,700,489,18,193,,524,392,14,118,,156,88,3,65,,20,9,1,10,,2,1,0,1,,"25,916","13,304","1,374","11,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,341,10,11,320,,"1,936",271,142,"1,523",,"1,657",229,114,"1,314",,220,27,25,168,,24,8,2,14,,35,7,1,27,,177,17,12,148,,122,9,4,109,,55,8,8,39,,242,25,21,196,,121,18,18,85,,111,7,3,101,,10,0,0,10,,2,0,0,2,,"17,720","1,124","1,676","14,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,392,17,24,351,,"2,438",530,263,"1,645",,"2,035",422,191,"1,422",,302,87,57,158,,47,18,14,15,,54,3,1,50,,218,52,37,129,,131,40,14,77,,87,12,23,52,,392,104,31,257,,284,92,26,166,,90,10,5,75,,18,2,0,16,,2,0,0,2,,"22,113","2,287","2,506","17,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,519,27,19,473,,"1,930",505,171,"1,254",,"1,432",428,127,877,,361,63,42,256,,51,7,0,44,,86,7,2,77,,217,27,7,183,,104,12,3,89,,113,15,4,94,,316,36,24,256,,160,33,22,105,,125,3,2,120,,31,0,0,31,,0,0,0,0,,"20,682","1,709","1,992","16,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,183,5,7,171,,"1,123",189,91,843,,956,164,74,718,,102,17,16,69,,39,4,1,34,,26,4,0,22,,73,14,3,56,,44,4,0,40,,29,10,3,16,,188,28,15,145,,124,21,12,91,,57,7,3,47,,7,0,0,7,,1,0,0,1,,"12,084",701,"1,063","10,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022　Jan．,331,3,6,322,,"2,237",92,154,"1,991",,"1,785",75,125,"1,585",,223,13,15,195,,110,1,12,97,,119,3,2,114,,412,6,17,389,,279,4,9,266,,133,2,8,123,,266,19,23,224,,220,19,20,181,,40,0,3,37,,6,0,0,6,,3,0,1,2,,"17,766",649,"1,455","15,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,282,9,27,246,,755,229,59,467,,595,181,39,375,,101,45,18,38,,22,3,0,19,,37,0,2,35,,190,18,2,170,,117,11,0,106,,73,7,2,64,,168,15,33,120,,134,13,31,90,,26,2,2,22,,8,0,0,8,,0,0,0,0,,"16,719",999,"1,282","14,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar.,772 ,18 ,28 ,726 ,,"3,825 ",789 ,557 ,"2,479 ",,"3,199 ",697 ,470 ,"2,032 ",,362 ,83 ,58 ,221 ,,165 ,4 ,10 ,151 ,,99 ,5 ,19 ,75 ,,455 ,47 ,18 ,390 ,,275 ,31 ,10 ,234 ,,180 ,16 ,8 ,156 ,,756 ,141 ,139 ,476 ,,612 ,127 ,122 ,363 ,,106 ,13 ,17 ,76 ,,38 ,1 ,0 ,37 ,,7 ,0 ,1 ,6 ,,"66,121 ","3,371 ","5,601 ","57,149 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr.,889 ,45 ,92 ,752 ,,"6,322 ","1,272 ","1,935 ","3,115 ",,"5,214 ","1,061 ","1,682 ","2,471 ",,711 ,190 ,172 ,349 ,,217 ,14 ,30 ,173 ,,180 ,7 ,51 ,122 ,,807 ,78 ,77 ,652 ,,434 ,46 ,41 ,347 ,,373 ,32 ,36 ,305 ,,"1,422 ",356 ,452 ,614 ,,"1,119 ",326 ,379 ,414 ,,228 ,30 ,66 ,132 ,,75 ,0 ,7 ,68 ,,3 ,0 ,0 ,3 ,,"139,548 ","6,166 ","12,593 ","120,789 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May.,949,42,166,741,,"9,430","2,043","3,859","3,528",,"8,066","1,777","3,362","2,927",,949,231,354,364,,229,27,56,146,,186,8,87,91,,719,71,202,446,,348,39,84,225,,371,32,118,221,,"1,780",297,804,679,,"1,503",265,702,536,,220,30,89,101,,57,2,13,42,,3,1,1,1,,"147,046","7,308","22,743","116,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun.,753 ,76 ,267 ,410 ,,"11,293 ","3,886 ","4,716 ","2,691 ",,"9,724 ","3,401 ","4,077 ","2,246 ",,"1,179 ",406 ,466 ,307 ,,268 ,67 ,103 ,98 ,,122 ,12 ,70 ,40 ,,863 ,249 ,328 ,286 ,,424 ,114 ,173 ,137 ,,439 ,135 ,155 ,149 ,,"2,010 ",434 ,"1,031 ",545 ,,"1,639 ",375 ,872 ,392 ,,309 ,51 ,147 ,111 ,,62 ,8 ,12 ,42 ,,9 ,0 ,1 ,8 ,,"120,430 ","12,405 ","30,908 ","77,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul.,945 ,102 ,273 ,570 ,0 ,"16,337 ","5,894 ","5,966 ","4,477 ",,"14,127 ","5,099 ","5,216 ","3,812 ",,"1,622 ",651 ,537 ,434 ,,371 ,113 ,145 ,113 ,,217 ,31 ,68 ,118 ,,"1,003 ",282 ,320 ,401 ,,527 ,181 ,147 ,199 ,,476 ,101 ,173 ,202 ,,"2,973 ",742 ,"1,346 ",885 ,,"2,330 ",588 ,"1,157 ",585 ,,575 ,148 ,171 ,256 ,,68 ,6 ,18 ,44 ,,11 ,0 ,2 ,9 ,,"144,578 ","30,315 ","40,616 ","73,647 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug.,"1,358 ",86 ,252 ,"1,020 ",,"18,645 ","4,864 ","5,418 ","8,363 ",,"15,823 ","4,165 ","4,667 ","6,991 ",,"2,009 ",549 ,455 ,"1,005 ",,514 ,106 ,220 ,188 ,,299 ,44 ,76 ,179 ,,"1,198 ",386 ,343 ,469 ,,602 ,204 ,148 ,250 ,,596 ,182 ,195 ,219 ,,"3,386 ",681 ,"1,355 ","1,350 ",,"2,697 ",584 ,"1,140 ",973 ,,594 ,93 ,191 ,310 ,,95 ,4 ,24 ,67 ,,9 ,3 ,1 ,5 ,,"169,902 ","31,441 ","37,349 ","101,112 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep.,"1,942",122,437,"1,383",,"21,523","6,732","8,779","6,012",,"17,965","5,697","7,538","4,730",,"2,396",793,833,770,,771,203,304,264,,391,39,104,248,,"1,579",405,445,729,,864,210,253,401,,715,195,192,328,,"5,663","2,355","2,092","1,216",,"4,689","2,086","1,724",879,,817,256,325,236,,157,13,43,101,,15,0,4,11,,"206,641","42,108","53,265","111,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"2,338",331,920,"1,087",,"65,619","46,838","14,809","3,972",,"53,242","37,072","12,944","3,226",,"9,847","8,089","1,265",493,,"1,951","1,438",374,139,,579,239,226,114,,"2,977","1,495",936,546,,"1,489",763,473,253,,"1,488",732,463,293,,"13,720","9,715","3,076",929,,"11,677","8,498","2,521",658,,"1,825","1,158",499,168,,218,59,56,103,,13,6,0,7,,"498,646","326,699","82,686","89,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,933",510,602,821,,"102,806","86,399","12,916","3,491",,"84,289","70,219","11,212","2,858",,"15,868","14,170","1,234",464,,"2,037","1,623",311,103,,612,387,159,66,,"3,177","1,927",795,455,,"1,484",863,388,233,,"1,693","1,064",407,222,,"23,042","19,049","2,766","1,227",,"20,193","16,982","2,319",892,,"2,613","2,009",382,222,,236,58,65,113,,22,10,2,10,,"934,599","773,983","81,921","78,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
↑Final,Dec.,"2,121 ","1,038 ",493 ,590 ,,"133,217 ","122,021 ","7,842 ","3,354 ",,"109,484 ","99,693 ","7,004 ","2,787 ",,"20,610 ","19,559 ",614 ,437 ,,"2,497 ","2,274 ",142 ,81 ,,626 ,495 ,82 ,49 ,,"4,272 ","3,669 ",259 ,344 ,,"2,593 ","2,299 ",136 ,158 ,,"1,679 ","1,370 ",123 ,186 ,,"46,735 ","44,307 ","1,218 ","1,210 ",,"41,835 ","39,842 ","1,015 ",978 ,,"4,754 ","4,386 ",164 ,204 ,,146 ,79 ,39 ,28 ,,23 ,16 ,1 ,6 ,,"1,370,114 ","1,252,391 ","51,942 ","65,781 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
↓Preliminary,2023　Jan.,"2,185 ",626 ,415 ,"1,144 ",,"109,914 ","92,230 ","8,573 ","9,111 ",,"88,114 ","73,154 ","7,540 ","7,420 ",,"18,738 ","16,983 ",691 ,"1,064 ",,"2,271 ","1,707 ",225 ,339 ,,791 ,386 ,117 ,288 ,,"4,266 ","2,860 ",385 ,"1,021 ",,"2,050 ","1,332 ",194 ,524 ,,"2,216 ","1,528 ",191 ,497 ,,"57,629 ","54,844 ","1,244 ","1,541 ",,"52,553 ","50,493 ",971 ,"1,089 ",,"4,787 ","4,286 ",151 ,350 ,,289 ,65 ,122 ,102 ,,27 ,9 ,0 ,18 ,,"1,497,472 ","1,308,606 ","52,995 ","135,871 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,997 ",684 ,513 ,800 ,,"109,099 ","95,898 ","10,071 ","3,130 ",,"86,946 ","75,610 ","8,854 ","2,482 ",,"19,010 ","17,802 ",813 ,395 ,,"2,339 ","1,955 ",236 ,148 ,,804 ,531 ,168 ,105 ,,"4,400 ","3,503 ",429 ,468 ,,"1,884 ","1,392 ",234 ,258 ,,"2,516 ","2,111 ",195 ,210 ,,"41,773 ","39,143 ","1,918 ",712 ,,"37,680 ","35,573 ","1,617 ",490 ,,"3,891 ","3,516 ",237 ,138 ,,202 ,54 ,64 ,84 ,,22 ,11 ,2 ,9 ,,"1,475,455 ","1,297,458 ","67,629 ","110,368 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar.,"2,897 ","1,274 ",560 ,"1,063 ",,"246,660 ","227,068 ","12,778 ","6,814 ",,"203,041 ","186,329 ","11,257 ","5,455 ",,"36,370 ","34,486 ","1,060 ",824 ,,"5,750 ","5,194 ",273 ,283 ,,"1,499 ","1,059 ",188 ,252 ,,"9,695 ","8,205 ",804 ,686 ,,"4,833 ","4,104 ",361 ,368 ,,"4,862 ","4,101 ",443 ,318 ,,"50,667 ","46,975 ","2,419 ","1,273 ",,"45,189 ","42,154 ","2,083 ",952 ,,"5,211 ","4,727 ",249 ,235 ,,267 ,94 ,87 ,86 ,,53 ,33 ,1 ,19 ,,"1,817,616 ","1,582,518 ","92,083 ","143,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr.,"2,811 ","1,482 ",428 ,901 ,,"231,610 ","216,183 ","11,349 ","4,078 ",,"183,893 ","170,589 ","10,107 ","3,197 ",,"36,847 ","35,398 ",893 ,556 ,,"9,328 ","8,937 ",198 ,193 ,,"1,542 ","1,259 ",151 ,132 ,,"10,161 ","8,889 ",612 ,660 ,,"4,971 ","4,266 ",355 ,350 ,,"5,190 ","4,623 ",257 ,310 ,,"64,162 ","61,409 ","1,852 ",901 ,,"56,123 ","53,918 ","1,553 ",652 ,,"7,738 ","7,334 ",211 ,193 ,,301 ,157 ,88 ,56 ,,24 ,14 ,0 ,10 ,,"1,949,236 ","1,738,172 ","84,679 ","126,385 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May.,"3,013 ","1,361 ",750 ,902 ,,"235,696 ","217,538 ","12,269 ","5,889 ",,"183,408 ","167,934 ","10,688 ","4,786 ",,"42,285 ","40,475 ","1,081 ",729 ,,"8,465 ","8,003 ",278 ,184 ,,"1,538 ","1,126 ",222 ,190 ,,"7,756 ","6,207 ",839 ,710 ,,"3,666 ","2,862 ",436 ,368 ,,"4,090 ","3,345 ",403 ,342 ,,"47,013 ","43,397 ","2,616 ","1,000 ",,"40,816 ","37,915 ","2,168 ",733 ,,"5,920 ","5,349 ",387 ,184 ,,277 ,133 ,61 ,83 ,,26 ,16 ,2 ,8 ,,"1,899,176 ","1,656,118 ","95,468 ","147,590 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun.,"2,732 ","1,237 ",657 ,838 ,,"264,807 ","249,519 ","11,363 ","3,925 ",,"226,806 ","213,591 ","10,077 ","3,138 ",,"30,016 ","28,609 ",883 ,524 ,,"6,753 ","6,339 ",260 ,154 ,,"1,232 ",980 ,143 ,109 ,,"5,828 ","4,574 ",740 ,514 ,,"2,784 ","2,183 ",365 ,236 ,,"3,044 ","2,391 ",375 ,278 ,,"48,810 ","45,723 ","2,221 ",866 ,,"42,424 ","40,075 ","1,778 ",571 ,,"5,932 ","5,452 ",297 ,183 ,,454 ,196 ,146 ,112 ,,29 ,14 ,0 ,15 ,,"2,073,441 ","1,882,296 ","89,864 ","101,281 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul.,"3,548 ","1,498 ","1,109 ",941 ,,"249,050 ","232,368 ","10,984 ","5,698 ",,"198,845 ","184,336 ","9,719 ","4,790 ",,"38,786 ","37,415 ",786 ,585 ,,"9,986 ","9,606 ",232 ,148 ,,"1,433 ","1,011 ",247 ,175 ,,"8,555 ","7,066 ",889 ,600 ,,"4,578 ","3,784 ",467 ,327 ,,"3,977 ","3,282 ",422 ,273 ,,"41,688 ","38,077 ","2,365 ","1,246 ",,"35,650 ","32,903 ","1,904 ",843 ,,"5,612 ","4,962 ",360 ,290 ,,426 ,212 ,101 ,113 ,,42 ,27 ,4 ,11 ,,"2,320,694 ","2,108,438 ","95,646 ","116,610 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug.,"3,252 ","1,484 ",566 ,"1,202 ",,"184,889 ","166,491 ","8,013 ","10,385 ",,"138,362 ","122,898 ","7,166 ","8,298 ",,"36,859 ","34,874 ",553 ,"1,432 ",,"8,238 ","7,740 ",179 ,319 ,,"1,430 ",979 ,115 ,336 ,,"6,227 ","4,885 ",625 ,717 ,,"2,967 ","2,293 ",303 ,371 ,,"3,260 ","2,592 ",322 ,346 ,,"32,159 ","28,883 ","1,622 ","1,654 ",,"27,565 ","25,094 ","1,317 ","1,154 ",,"4,244 ","3,632 ",204 ,408 ,,350 ,157 ,101 ,92 ,,32 ,19 ,6 ,7 ,,"2,157,190 ","1,897,129 ","74,600 ","185,461 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
